"FundCode"	"Date"	"CCYExposure"
"17841"	"SKSPEC4"	2015-02-26	0.0435554603443032
"17842"	"SKSPEC5"	2015-02-26	0.048410970368833
"17843"	"SKSPEC6"	2015-02-26	0.0500557838563924
"17844"	"SKSPEC7"	2015-02-26	0.0537586542281744
"17845"	"SKSPEC8"	2015-02-26	0.0596716544204397
"17846"	"SKSTRATBND"	2015-02-26	0.181448247019341
"17847"	"SKUKCONST"	2015-02-26	0.000522014277230077
"17848"	"SKUKOPP"	2015-02-26	0.000127816106301419
"17849"	"SKUSCAPGR"	2015-02-26	0.0501548357305339
"17850"	"SMFO"	2015-02-26	0.021001660178882
"17851"	"SMID"	2015-02-26	0.00114422820489731
"17852"	"TEWK"	2015-02-26	0.0121198712094584
"17853"	"SKSPEC8"	2015-03-02	0.0621637244709763
"17854"	"SKSTRATBND"	2015-03-02	0.180347266153034
"17855"	"SKUKCONST"	2015-03-02	0.00052295852844425
"17856"	"SKUKOPP"	2015-03-02	0.000128614088277754
"17857"	"SKUSCAPGR"	2015-03-02	0.0505103758065714
"17858"	"SMFO"	2015-03-02	0.022564570901924
"17859"	"SMID"	2015-03-02	0.00113761522656702
"17860"	"TEWK"	2015-03-02	0.0370427026356626
"17861"	"U3"	2015-03-02	0
"17862"	"U7"	2015-03-02	0.999914516476687
"17863"	"UKALPBAROFF"	2015-03-02	0.00052861381991834
"17864"	"UKALPBARONSA"	2015-03-02	0.000529732980349678
"17865"	"UKALPBARONSB"	2015-03-02	0.000566708844254001
"17866"	"UKDEFOS"	2015-03-02	1.47315533286266e-08
"17867"	"UKMCO"	2015-03-02	2.06199537234496e-05
"17868"	"UKOPP"	2015-03-02	0.000704156856867382
"17869"	"UKSEF"	2015-03-02	0.000281373295076467
"17870"	"UKSEO"	2015-03-02	0.000867002486131643
"17871"	"UKSSO"	2015-03-02	0
"17872"	"VGDEOMUK"	2015-03-02	0.00051559366122423
"17873"	"ARBEA"	2015-03-04	0.013174158598507
"17874"	"AS17"	2015-03-04	0
"17875"	"AS4"	2015-03-04	0.9172063591299
"17876"	"ASFO"	2015-03-04	0.985560909279476
"17877"	"CBAL"	2015-03-04	0.26648249779775
"17878"	"CBAP"	2015-03-04	0.211923692097974
"17879"	"CBFO"	2015-03-04	0.00200808109843017
